row,base,csw,size,hvac_fuel,fuel,hours,occupancy,heat_a,heat_b,heat_c,cool_a,cool_b,cool_c,cool_mult_no_cooling,building_type
63,Single,Double,Small,PTAC,Electric,,33,0.44323651939989,0.0006827899,3.39E-08,2.1857291298,0.00120699829,-1.04E-07,0,Hotel
64,Single,Double,Small,PTAC,Electric,,100,1.7729460775996,0.00207839,1.02E-07,8.7429165192,0.00362097486,-3.12E-07,0,Hotel
65,Double,Single,Small,PTAC,Electric,,33,0.10977317749997,0.00054560795,3.61E-08,0.5478621799666,0.0008329039757,-5.33E-08,0,Hotel
66,Double,Single,Small,PTAC,Electric,,100,0.43908727099989,0.00163682385,1.08E-07,2.1914487198664,0.00249871193,-1.60E-07,0,Hotel
67,Single,Single,Small,PTAC,Natural Gas,,33,0.00878517755,0.00003911407,-4.50E-10,1.04158823989,0.00143588797,-7.43E-08,0,Hotel
68,Single,Single,Small,PTAC,Natural Gas,,100,0.03514071019999,0.00011734221,-1.35E-09,4.17863095956,0.00430766391,-2.23E-07,0,Hotel
69,Single,Double,Small,PTAC,Natural Gas,,33,0.014858839299999,0.00002287633,4.71E-10,2.1857291298,0.00120699829,-1.04E-07,0,Hotel
70,Single,Double,Small,PTAC,Natural Gas,,100,0.059435357199997,0.00006862899,1.41E-09,8.7429165192,0.00362097486,-3.12E-07,0,Hotel
71,Double,Single,Small,PTAC,Natural Gas,,33,0.00368256925,0.00001829892,5.02E-10,0.5478621799666,0.0008329039757,-5.33E-08,0,Hotel
72,Double,Single,Small,PTAC,Natural Gas,,100,0.01473027699999,0.00005489676,1.51E-09,2.1914487198664,0.00249871193,-1.60E-07,0,Hotel
73,Single,Single,Small,PTHP,Electric,,33,0.10977317749997,0.00054560795,3.61E-08,1.04158823989,0.00143588797,-7.43E-08,0,Hotel
74,Single,Single,Small,PTHP,Electric,,100,0.43908727099989,0.00163682385,1.08E-07,4.17863095956,0.00430766391,-2.23E-07,0,Hotel
75,Single,Double,Small,PTHP,Electric,,33,0.1857291298,0.00032027098,2.08E-08,2.1857291298,0.00120699829,-1.04E-07,0,Hotel
76,Single,Double,Small,PTHP,Electric,,100,0.7429165192,0.00096081294,6.24E-08,8.7429165192,0.00362097486,-3.12E-07,0,Hotel
77,Double,Single,Small,PTHP,Electric,,33,0.04586210599999,0.000255403,1.64E-08,0.5478621799666,0.0008329039757,-5.33E-08,0,Hotel
78,Double,Single,Small,PTHP,Electric,,100,0.183448424,0.000766209,4.92E-08,2.1914487198664,0.00249871193,-1.60E-07,0,Hotel
79,Single,N/A,Small,Electric,N/A,,33,23.621827405,0.00109296095,2.79E-07,0,0,0,0,Hotel
80,Single,N/A,Small,Electric,N/A,,100,94.48730962,0.00327888285,8.37E-07,0,0,0,0,Hotel
81,Single,Single,Large,FCU,Electric,,33,0.0653463277,0.0010553873,3.98E-08,0.7439915999214,0.0010256342643,-5.30E-08,0,Hotel
82,Single,Single,Large,FCU,Electric,,100,0.2613853108,0.0031661619,1.19E-07,2.9759663996856,0.0030769027929,-1.59E-07,0,Hotel
83,Single,Double,Large,FCU,Electric,,33,0.10512262779999,0.0006559099386,2.64E-08,1.5591854598428,0.00086175617573,-6.84E-08,0,Hotel
84,Single,Double,Large,FCU,Electric,,100,0.42049051119996,0.0019677298158,7.92E-08,6.2367418393712,0.00258526852719,-2.05E-07,0,Hotel
85,Double,Single,Large,FCU,Electric,,33,0.0275163882,0.0004948968457,1.78E-08,0.3907975599678,0.0005703505972,-3.05E-08,0,Hotel
86,Double,Single,Large,FCU,Electric,,100,0.1100655528,0.0014846905371,5.34E-08,1.5631902398712,0.0017110517916,-9.15E-08,0,Hotel
87,Single,Single,Large,FCU,Natural Gas,,33,0.002190878924,0.00003537958,1.34E-10,0.7439915999214,0.0010256342643,-5.30E-08,0.0038721565297,Hotel
