lookup_key,heating_kwh,cooling_kwh,gas_therms,baseline_eui
DoubleSingleSSFCUElectric,6.447264931200001,1.0903582671,0,70.2600963279
SingleSingleSSVAVElectric,16.9527862213493,5.3602857646972994,0,78.3584582812
SingleDoubleSSVAVElectric,15.612931372896597,9.105932243032202,0,78.3584582812
DoubleSingleSSVAVElectric,12.0935825708778,4.3338616722723,0,73.78627161269999
SingleSingleSSFCUNatural Gas,0,1.2873886282999998,0.5331079267611,82.11126214570001
SingleDoubleSSFCUNatural Gas,0,2.4130059845,0.4905081540227,82.11126214570001
DoubleSingleSSFCUNatural Gas,0,1.0903582671,0.27497656511889995,77.0938393008
SingleSingleSSVAVNatural Gas,0,5.3602857646972994,0.7230361519974,87.1139067476
SingleDoubleSSVAVNatural Gas,0,9.105932243032202,0.6658912972734999,87.1139067476
DoubleSingleSSVAVNatural Gas,0,4.3338616722723,0.5153681437502,82.27462925399999
SingleSingleHospVAVElectric,28.8331626815,12.3824481617431,0,204.4147705988
SingleDoubleHospVAVElectric,34.0113925194,15.705779759881798,0,204.4147705988
DoubleSingleHospVAVElectric,17.0498924493595,6.935786233929999,0,204.4147705988
SingleSingleHospVAVNatural Gas,0,12.3824481617431,1.2603297618,230.199178879
SingleDoubleHospVAVNatural Gas,0,15.705779759881798,1.5031314637,230.199178879
DoubleSingleHospVAVNatural Gas,0,6.935786233929999,0.7365250366205,230.199178879
SingleSingleLowMFPTACElectric,9.3267983469552,5.4637066697,0,44.4720063369
SingleDoubleLowMFPTACElectric,6.817538589105899,10.2373614052,0,45.6137379291
DoubleSingleLowMFPTACElectric,4.2241121170437,3.9651811232000003,0,42.4891956141
SingleSingleMidMFFCUElectric,8.0949987187166,4.722940184900799,0,42.1564935651
SingleDoubleMidMFFCUElectric,5.8829750509607,9.4893119340811,0,42.1564935651
DoubleSingleMidMFFCUElectric,3.1959784889124006,3.4119514775121997,0,39.36611592089999
SingleSingleMidMFFCUNatural Gas,0,4.722940184900799,0.3452517170088,44.492010056299996
SingleDoubleMidMFFCUNatural Gas,0,9.4893119340811,0.2509083548734,44.492010056299996
DoubleSingleMidMFFCUNatural Gas,0,3.4119514775121997,0.13630843485549998,41.099206962000004
